telegram_id,tickets_count,username
5799340106,2,vasil2235
1642227095,2,hate_gifts
5656929560,2,lewho
1025322925,2,takoy_stas
1125533068,2,EA0810
7860830071,2,Insult_FF
666702764,2,georgegarson
1580602645,2,makarov020
1422262199,2,slepwalkeer
573562341,2,AlexeiiLEX
649072490,2,youkenir
577460821,2,bendeveryone
6443459855,2,Skr_Artemna
5959411090,2,pro7772013
2123782274,2,lommss
744700668,2,nafku
6839395536,2,yebikar
5958159037,2,spatlov
7502224167,2,MantoWin
1721510257,2,Rasheneg
753579122,2,maksimka_vibratorrrr
7931389515,2,knuklestons
1495608512,2,Sam1lik
6473218082,2,aezertt
822551388,2,G0olo
7472017595,2,gazz_worker
702183004,2,sukehiro
977692811,2,Prokopmaster
1790885970,2,dumbpatrickstar
576599703,2,Pop9292
5460031900,2,Wzmstr
5863877360,2,alexei66_88
476666605,2,eyyey
5353954080,2,FFFLLLUFFFY
8026472928,2,ultrabroken
6025867130,2,stranger_crypto
6640256721,2,JDJSJS899
6874378343,2,Sannnnnsans
5170981804,2,Mark_Res777
857135628,2,Pumptonup
1972326449,2,artem_lut1y
1192937741,2,x1mec
1829512894,2,sashikiyoshi
1005323100,2,InShinexD
576244201,2,qqAquaqq
7341233928,2,aaataman
7732344944,2,Slavch1k
836384248,2,qwertyasdqwert
1405494054,2,xsqqo
1984616973,2,VadimSportixxx
380410969,2,Sanval_saw
6329849761,2,DRUGINTERNETA
1996520904,2,bakc0n
845728895,2,m1khasik
1958781928,2,snchka
734108210,2,zaxue
7437501010,2,lilit_gifts1
1081075110,2,oneday_xXx
1983467458,2,PROSTO_BAHR
829945937,2,BOPAMAYE
1326233386,2,dxzuz
7111391430,2,ambercollecting
6737244594,2,byxaq
1981323640,2,eternaleva
7395361239,2,VMeansVendetta1984
5427191968,2,Bosspavuki
7919256515,2,OwnerGrace
1046552798,2,titriks
645051745,2,ksch794
7693957329,2,pcpbiscuit
638886338,2,fulloffhatred
799837796,2,temkocash
651385813,2,Gnidailiche
6748703360,2,Blat_no
5359548553,2,TV0Y_BRO
737025730,2,f3nnn
375922144,2,hosein_ba1369
6666257008,2,LordAlexis
5994196432,2,blockvok
1736637951,2,strongusdt
72714362,2,Demigod_Boss
259363080,2,Valentiunomomento
1004812512,2,d1shed
1846630074,2,hands_of_seven_sins
955320608,2,ChristinaFost
8155668680,2,Claudiaamd
7038853109,2,The_SkittlesV
5277467533,2,ddddddof
324606479,2,julia_mig
729464901,2,empv11
6057290342,2,Temasqzx
815327477,2,watchdemohowtoplaymid
5805904960,2,btc4f
1641422895,2,ojsansonvegan
263924952,2,botexyo
284306619,2,jjnxs
7765051394,2,andersoll_zolotovsky
1892645253,2,OneLAVu
2138182633,2,nealot
7211948849,2,Meatkakylka
723895032,2,lexkeks
273255625,2,donchuk
6982640824,2,katalict
423808776,2,deadbrainmonke
7267235252,2,mkmmk
1785284508,2,Proftina
506296712,2,awesomephonk
6045888692,2,T1ger1501
1935667283,2,MOHCTEP_TELEGRAMA
6320232377,2,Coin_moka
6517269680,2,SRB_King1
1598828622,2,EdlessTrue
